run_id,persona_id,initial_survey,exit_survey
d4c18842,0,23,19
d4c18842,1,17,16
d4c18842,2,18,18
d4c18842,3,21,24
d4c18842,4,24,22
d4c18842,5,22,21
d4c18842,6,24,24
d4c18842,7,24,20
d4c18842,8,25,22
d4c18842,9,23,23
d4c18842,10,25,22
d4c18842,11,15,18
d4c18842,12,22,21
d4c18842,13,20,26
b7ed480b,0,23,20
b7ed480b,1,17,17
b7ed480b,2,18,17
b7ed480b,3,22,18
b7ed480b,4,24,21
b7ed480b,5,21,19
b7ed480b,6,24,23
b7ed480b,7,24,23
b7ed480b,8,24,24
b7ed480b,9,23,23
b7ed480b,10,25,22
b7ed480b,11,15,18
b7ed480b,12,22,21
b7ed480b,13,20,21
43c9072f,0,23,20
43c9072f,1,18,16
43c9072f,2,18,19
43c9072f,3,23,24
43c9072f,4,24,25
43c9072f,5,21,23
43c9072f,6,24,32
43c9072f,7,24,24
43c9072f,8,25,21
43c9072f,9,23,23
43c9072f,10,25,28
43c9072f,11,15,17
43c9072f,12,24,23
43c9072f,13,20,25
